range_MPa,mean_MPa,count
1.502089,12.562637,1.000000
0.995884,45.463751,1.000000
1.721075,108.395165,1.000000
0.794951,114.676285,1.000000
107.810751,65.707985,1.000000
0.474344,-7.156388,1.000000
3.367176,98.313121,1.000000
0.025333,105.567652,1.000000
116.814983,47.460709,1.000000
1.336728,-22.423287,1.000000
0.646494,-24.117980,1.000000
1.090357,-32.153125,1.000000
2.335767,86.491262,1.000000
1.814174,86.576123,1.000000
3.232530,-29.299451,1.000000
2.491090,-30.421199,1.000000
0.326813,65.710447,1.000000
1.522863,28.151384,1.000000
1.120862,17.973546,1.000000
112.380055,23.170267,1.000000
123.794548,28.822081,1.000000
4.382559,-46.998253,1.000000
4.373822,-46.027475,1.000000
0.739539,23.396957,1.000000
2.447033,26.589540,1.000000
2.352567,66.461436,1.000000
1.936607,-41.475312,1.000000
4.310088,-41.528162,1.000000
0.344826,-26.881755,1.000000
0.083737,-9.464347,1.000000
118.862937,13.107517,1.000000
126.090263,13.596290,1.000000
0.730540,-25.558201,1.000000
2.011181,69.896073,1.000000
0.257233,-1.195465,1.000000
0.395464,-28.945686,1.000000
3.077927,-29.408656,1.000000
113.572813,25.264044,1.000000
1.352300,81.375039,1.000000
5.998862,80.231124,1.000000
4.496295,10.820141,1.000000
1.887081,-24.229114,1.000000
112.970166,30.677067,1.000000
0.130818,110.690014,1.000000
0.649918,110.685626,1.000000
3.213811,112.213993,1.000000
2.291257,3.914718,1.000000
1.078863,22.016840,1.000000
117.062186,56.496008,1.000000
3.940611,22.906134,1.000000
1.600058,54.970895,1.000000
122.128251,68.937485,1.000000
0.034669,138.118727,1.000000
0.751831,18.288069,1.000000
4.403611,121.508223,1.000000
127.551791,77.438950,1.000000
201.521695,44.874971,1.000000
1.907788,12.156406,1.000000
0.954847,24.392614,1.000000
3.604253,129.727203,1.000000
0.227204,131.211712,1.000000
129.814758,69.665324,1.000000
1.775454,2.140088,1.000000
1.543590,96.295473,1.000000
134.525151,64.858456,1.000000
3.142760,1.057650,1.000000
1.234095,6.984725,1.000000
0.351727,86.068305,1.000000
0.653696,98.930472,1.000000
1.040038,111.917962,1.000000
122.607707,55.687070,1.000000
4.806322,-1.594823,1.000000
3.595230,89.263966,1.000000
0.302698,-15.885990,1.000000
125.126405,40.120444,1.000000
0.777416,-33.551679,1.000000
4.771363,-23.844907,1.000000
0.183357,68.277969,1.000000
123.827741,20.827679,1.000000
1.496276,-41.953723,1.000000
2.474252,66.577020,1.000000
113.249496,12.353866,1.000000
2.543678,-46.024590,1.000000
1.944483,-48.990303,1.000000
1.153244,67.259398,1.000000
0.261516,58.441910,1.000000
1.944450,-45.054791,1.000000
2.199219,-46.848903,1.000000
120.011318,11.026073,1.000000
4.038499,-22.037213,1.000000
0.130499,8.938625,1.000000
118.239296,19.650167,1.000000
0.321410,83.470507,1.000000
4.739479,88.981677,1.000000
2.059981,57.425769,1.000000
2.281487,-32.588431,1.000000
127.310637,28.149077,1.000000
0.589434,11.800045,1.000000
0.085865,-1.554947,1.000000
1.531449,-11.728259,1.000000
0.776552,41.584692,1.000000
121.306796,47.037954,1.000000
1.666600,1.426411,1.000000
3.283200,113.144309,1.000000
124.057190,59.266452,1.000000
2.299762,135.091056,1.000000
1.306302,118.523513,1.000000
0.306173,109.833874,1.000000
0.256253,10.323177,1.000000
130.268996,73.557042,1.000000
3.729943,137.326564,1.000000
1.919783,132.704291,1.000000
0.665818,20.544957,1.000000
2.564054,30.315419,1.000000
121.279373,78.719492,1.000000
2.704430,135.752001,1.000000
1.566363,123.797504,1.000000
1.125070,124.541867,1.000000
0.970338,123.582951,1.000000
115.206946,73.178613,1.000000
0.911335,7.620906,1.000000
133.436554,64.201310,1.000000
1.258822,85.087427,1.000000
0.947828,92.590791,1.000000
0.455344,94.782405,1.000000
0.698960,31.318472,1.000000
114.603586,43.117605,1.000000
0.416629,-24.558789,1.000000
6.752589,-17.182170,1.000000
0.056905,86.980176,1.000000
112.855886,31.124233,1.000000
4.151700,-26.142181,1.000000
0.421562,-34.826610,1.000000
2.087300,64.136698,1.000000
114.215010,21.577087,1.000000
0.288664,-44.415665,1.000000
2.059978,-47.343718,1.000000
1.647964,-29.947553,1.000000
0.364474,-41.008443,1.000000
122.036667,12.359608,1.000000
195.712149,45.589219,1.000000
2.017441,-33.827493,1.000000
2.002307,63.236687,1.000000
1.232858,-44.140135,1.000000
1.555259,-43.395980,1.000000
2.531182,66.787415,1.000000
123.164434,12.148144,1.000000
2.295863,74.439998,1.000000
2.988505,77.884476,1.000000
1.901763,-29.126753,1.000000
113.250897,24.909479,1.000000
6.369690,88.383726,1.000000
2.080712,-20.656253,1.000000
117.323012,36.515632,1.000000
1.970116,108.339912,1.000000
1.552720,10.397390,1.000000
0.946844,4.725986,1.000000
0.924567,13.964742,1.000000
105.315972,56.847823,1.000000
0.977406,119.840743,1.000000
0.971789,134.233243,1.000000
0.171773,22.098904,1.000000
1.044499,106.584975,1.000000
0.023006,133.968207,1.000000
119.015745,75.788535,1.000000
0.661478,131.005576,1.000000
0.948127,34.236383,1.000000
