t,R,size,fillet_div,elements,nodes,mass_kg,sigma_fillet_MPa,sigma_fixed_edge_MPa,sigma_global_max_MPa,SF,deflection_mm,reaction_z_N,equilibrium_err,solve_s
7.0,10.0,6.0,6,15780,26492,0.4959815861759025,145.55084313528414,31.630599562872884,145.55084313528414,2.439010261658468,0.6366428585858586,600.0,0.0,3.726392984390259
8.0,2.0,6.0,6,18169,31136,0.5575465981283259,182.84244177455352,39.924730563838644,182.84244177455352,1.9415623449052293,0.4998177878787879,600.0,0.0,3.661655902862549
8.0,4.0,6.0,6,25261,40684,0.5585573727787237,147.80592392636493,35.92658906869771,147.80592392636493,2.4017981862273436,0.4850064343434343,600.0,0.0,8.11636996269226
8.0,6.0,6.0,6,20659,33435,0.5602419971960536,131.4287273244557,30.90590353006155,131.4287273244557,2.701083752592521,0.4693717171717172,600.0,0.0,11.114208936691284
8.0,8.0,6.0,6,18396,30020,0.5626004713803157,120.77955503890725,28.146581391534998,120.77955503890725,2.9392391774058306,0.4529810202020202,600.0,0.0,12.240839004516602
8.0,10.0,6.0,6,16944,27983,0.5656327953315099,113.44075226930885,26.910766981329335,113.44075226930885,3.1293868640541844,0.43616658585858586,600.0,0.0,12.326839685440063
9.0,2.0,6.0,6,18921,32153,0.6271978072839333,150.58186840152965,30.347332501087834,150.58186840152965,2.3575215513556067,0.3573328888888889,600.0,0.0,12.569240093231201
9.0,4.0,6.0,6,26069,41804,0.6282085819343313,120.5398168868938,27.57824130318348,120.5398168868938,2.945084945110771,0.3470503434343434,600.0,0.0,25.11084485054016
9.0,6.0,6.0,6,21256,34232,0.6298932063516613,106.9055016327241,25.200307315646505,106.9055016327241,3.3206897173506498,0.33610568686868686,600.0,0.0,12.442368984222412
9.0,8.0,6.0,6,18835,30497,0.6322516805359234,97.43445706485123,23.027448109601977,97.43445706485123,3.6434749132302975,0.32473869696969704,600.0,0.0,10.484084129333496
9.0,10.0,6.0,6,17805,29105,0.6352840044871172,92.0048926373216,23.036317214893625,92.0048926373216,3.858490454408671,0.3130744545454546,600.0,0.0,9.075609922409058
10.0,2.0,6.0,6,20280,34041,0.6968490164395408,126.31763524539213,24.379308845156743,126.31763524539213,2.8103756004484723,0.26515926213592234,600.0,0.0,9.104649066925049
10.0,4.0,6.0,6,27151,43349,0.6978597910899388,100.23727773992276,23.02339505319339,100.23727773992276,3.541596579678557,0.2577069029126213,600.0,0.0,14.914151906967163
10.0,6.0,6.0,6,21722,34775,0.6995444155072686,87.74545507712679,21.116378295304667,87.74545507712679,4.045793593388523,0.2497808155339806,600.0,0.0,11.237956047058105
10.0,8.0,6.0,6,19710,31750,0.7019028896915307,81.08514476634805,20.31481178027275,81.08514476634805,4.378113907583872,0.24157267961165046,600.0,0.0,10.741726875305176
10.0,10.0,6.0,6,18703,30278,0.7049352136427248,75.63341662021143,20.49097683840143,75.63341662021143,4.693692495509104,0.2331476699029126,600.0,0.0,8.460674047470093
12.0,2.0,6.0,6,22658,37418,0.8361514347507555,92.82763767342676,18.497723330564472,92.82763767342676,3.8242920847443242,0.15900003816793892,600.0,0.0,8.388399124145508
12.0,4.0,6.0,6,29401,46617,0.8371622094011535,73.31914367094365,17.511043612575055,73.31914367094365,4.841845965812697,0.15472849629629631,600.0,0.0,12.733883142471313
12.0,6.0,6.0,6,23122,36896,0.8388468338184836,64.3986710817794,16.483017891878966,64.3986710817794,5.512536113504394,0.1501940962962963,600.0,0.0,9.64501404762268
12.0,8.0,6.0,6,21290,33987,0.8412053080027458,58.950973672269996,15.37888766185005,58.950973672269996,6.021953122836863,0.1454879851851852,600.0,0.0,8.733247995376587
12.0,10.0,6.0,6,19749,31620,0.8442376319539397,54.211287131088184,14.669445068219177,54.211287131088184,6.54845178535561,0.14067043511450383,600.0,0.0,8.405162334442139
