x,T_fe,T_1d,dT
0.019124999999999993,89.9529,89.9392993672061,0.013600632793895784
0.019499999999999993,89.797,89.78339664875551,0.013603351244483974
0.019874999999999993,89.6426,89.62901229412941,0.013587705870591549
0.020249999999999994,89.4898,89.47614268493743,0.013657315062573616
0.020624999999999994,89.3384,89.32478423829112,0.013615761708877017
0.020999999999999994,89.1885,89.17493340671996,0.01356659328004639
0.021374999999999995,89.0402,89.0265866780882,0.013613321911805087
0.021749999999999995,88.8933,88.87974057551263,0.013559424487368688
0.022124999999999995,88.748,88.73439165728098,0.013608342719024336
0.022499999999999992,88.6041,88.59053651677134,0.013563483228665518
0.022874999999999993,88.4617,88.44817178237224,0.01352821762775136
0.023249999999999993,88.3209,88.30729411740371,0.013605882596280594
0.023624999999999993,88.1815,88.16790022003906,0.013599779960941305
0.023999999999999994,88.0435,88.0299868232274,0.013513176772590896
0.024374999999999994,87.9071,87.8935506946172,0.013549305382795751
0.024749999999999994,87.7721,87.75858863648044,0.013511363519555175
0.025124999999999995,87.6386,87.62509748563772,0.013502514362272677
0.0255,87.5066,87.49307411338408,0.013525886615923355
0.025875,87.376,87.36251542541567,0.01348457458433927
0.02625,87.2469,87.23341836175727,0.013481638242723193
0.026625,87.1193,87.10577989669056,0.013520103309431875
0.027,86.9931,86.97959703868315,0.013502961316845585
0.027375,86.8684,86.85486683031851,0.013533169681480217
0.027750000000000004,86.7451,86.73158634822673,0.013513651773266133
0.028125,86.6232,86.60975270301583,0.013447296984168133
0.028499999999999998,86.5028,86.48936303920419,0.013436960795800701
0.028874999999999998,86.3839,86.37041453515354,0.013485464846453965
0.029249999999999998,86.2664,86.25290440300287,0.013495596997131543
0.029625,86.1503,86.13682988860307,0.013470111396927109
0.03,86.0356,86.02218827145244,0.013411728547566781
0.030375,85.9224,85.90897686463276,0.013423135367233385
0.03075,85.8106,85.79719301474657,0.013406985253425319
0.031125,85.7003,85.68683410185473,0.013465898145270216
0.0315,85.5913,85.57789753941518,0.01340246058482819
0.031875,85.4838,85.47038077422224,0.013419225777766997
0.03225,85.3777,85.36428128634681,0.013418713653194914
0.032625,85.273,85.25959658907729,0.013403410922705916
0.033,85.1697,85.15632422886128,0.013375771138726122
0.033375,85.0679,85.05446178524815,0.013438214751843702
0.03375,84.9674,84.95400687083219,0.013393129167809548
0.034125,84.8683,84.85495713119673,0.013342868803277952
0.0345,84.7707,84.75731024485897,0.013389755141034243
0.034875,84.6744,84.66106392321558,0.01333607678442661
0.035250000000000004,84.5796,84.56621591048892,0.013384089511077946
0.035625000000000004,84.4861,84.47276398367441,0.013336016325581568
0.036000000000000004,84.3941,84.38070595248821,0.013394047511781082
0.036375000000000005,84.3034,84.29003965931602,0.013360340683973959
