x_m,fe_mode1_uz,theory_mode1,fe_mode2_uy,theory_mode2,fe_mode3_uz,theory_mode3,fe_mode4_uz,theory_mode4
0.09125,0.06303149949772169,0.06351895855765732,0.06321268724965462,0.06351895855765732,0.5205715662729681,0.524279838985563,1.212052615143339,1.2191012401568695
0.0925,0.06476308564129128,0.06525181817170755,0.06493916785893324,0.06525181817170755,0.5335740883577214,0.5372840829556498,1.2359682445851417,1.2429801799032636
0.09375,0.06651064283296654,0.06700720116526104,0.06669484180533254,0.06700720116526104,0.5466480352342383,0.5503886703453934,1.2597817209895363,1.266712757474898
0.095,0.06828736396824168,0.06878506524119643,0.06846644891275658,0.06878506524119643,0.5598497615229195,0.5635907593266578,1.2833941581237134,1.290284677254462
0.09625,0.07007995924551635,0.07058536756069556,0.07026714035218656,0.07058536756069556,0.5731189303505893,0.5768874869273558,1.306884020370572,1.3136817403988914
0.0975,0.07190163121846978,0.07240806474427586,0.07208365432818063,0.07240806474427586,0.5865080918045571,0.5902759696523048,1.330136013150185,1.33688985339222
0.09875,0.07373912925094753,0.07425311287283598,0.07392914622201945,0.07425311287283598,0.599960859008508,0.6037533041085343,1.3532456688912051,1.3598950365349882
0.1,0.07560557784367047,0.07612046748871326,0.0757904447365652,0.07612046748871326,0.6135260235073509,0.6173165676349102,1.3760808456357045,1.3826834323650896
0.10125,0.07748776610495788,0.07801008359675554,0.07768061308918149,0.07801008359675554,0.6271506552182934,0.6309628189359335,1.39875386787936,1.40524131400499
0.1025,0.0793988119577739,0.07992191566540507,0.07958647868725381,0.07992191566540507,0.6408798173187322,0.6446890987195838,1.4211173508807409,1.4275550934302819
0.10375,0.08132555032312379,0.0818559176277961,0.08152104830237326,0.0818559176277961,0.6546644731188077,0.6584924303390635,1.4432994438366,1.4496113296546063
0.105,0.08328098961821886,0.08381204288286404,0.08347134602305552,0.08381204288286404,0.6685460148647427,0.6723698204383064,1.4651371798661128,1.4713967368259973
0.10625,0.08525207834617345,0.08579024429646931,0.08545021113425526,0.08579024429646931,0.6824786179314551,0.6863182596011083,1.4867746872769194,1.4928981922297835
0.1075,0.08725175229094148,0.08779047420253228,0.08744468447315185,0.08779047420253228,0.6965003243202139,0.7003347230037433,1.5080341873693925,1.5141027441932216
0.10875,0.08926699986223884,0.08981268440418222,0.08946762572845872,0.08981268440418222,0.7105688660887437,0.7144161710709176,1.529074119590399,1.534997619887097
0.11,0.0913106757801162,0.09185682617491864,0.09150609220841666,0.09185682617491864,0.7247184257661159,0.7285595501349255,1.549703965278534,1.555570233019602
0.11125,0.09336987487961389,0.0939228502597852,0.09357295058806016,0.0939228502597852,0.7389106163168281,0.7427617930978604,1.5700967936341674,1.5758081914178454
0.1125,0.09545739425592785,0.09601070687655666,0.09565522777819348,0.09601070687655666,0.7531759337310767,0.757019820096736,1.5900467723452028,1.5956993044924332
0.11375,0.09756035588892555,0.0981203457169384,0.09776574904486236,0.0981203457169384,0.7674793428831338,0.7713305391713803,1.6097421805546193,1.6152315905806267
0.115,0.099691506452055,0.10025171594777849,0.09989163730295123,0.10025171594777849,0.7818479757834662,0.7856908469349493,1.628964422942302,1.6343932841636453
0.11625,0.10183802531842723,0.10240476621229311,0.10204562361883963,0.10240476621229311,0.7962501423487324,0.8000976292469182,1.6479159561222627,1.6531728429537766
0.1175,0.10401260901767578,0.10457944463130298,0.10421496892195242,0.10457944463130298,0.8107097263147564,0.8145477618884088,1.6663637094306945,1.671558954847018
