x_m,fe_mode1,theory_mode1,fe_mode2,theory_mode2,fe_mode3,theory_mode3
0.07875,0.06155790322445765,0.06198804406524738,-0.2934566251791312,-0.2938003607023492,0.5970453696108325,0.5946443871534948
0.08,0.06344029752314918,0.06387093143989807,-0.30072316565354806,-0.3010549902475112,0.6069126814371713,0.6045059684784062
0.08125,0.06534039658615316,0.06577872888569514,-0.3080004042881397,-0.3083246913120318,0.6166089687318813,0.61412965201678
0.0825,0.0672725812650024,0.06771129038839853,-0.3152941400685862,-0.315606587774391,0.6259887395728894,0.6235066322831427
0.08375,0.0692221839306597,0.06966847001132334,-0.3225944676365966,-0.32289781778942334,0.6351839593693271,0.6326283267187722
0.085,0.0712036592023873,0.07165012189761955,-0.3299040380236997,-0.33019553412546715,0.644042301273194,0.6414863790952163
0.08625,0.07320230576824978,0.07365610027257823,-0.3372161824656133,-0.337496904501946,0.6527040626336055,0.6500726628251486
0.0875,0.07523241499821468,0.07568625944596852,-0.34452999940168094,-0.3447991119272503,0.661006264181091,0.6583792841775326
0.08875,0.07727951212148021,0.07774045381440253,-0.35184250146459867,-0.35209935503678985,0.6691021147367592,0.6663985853941407
0.09,0.07935759809304745,0.07981853786372853,-0.3591496102003949,-0.359394848431082,0.6768192521829,0.6741231477045646
0.09125,0.08145257942088194,0.08192036617145308,-0.36645127698835817,-0.36668282301375293,0.6843198893645912,0.6815457942369402
0.0925,0.08357815435039674,0.08404579340919062,-0.373740469538738,-0.3739605263293164,0.6914220940977108,0.6886595928216843
0.09375,0.08572029289964397,0.08619467434514165,-0.381020387852444,-0.3812252229006047,0.6982987177537083,0.6954578586856517
0.095,0.08789279392623578,0.0883668638465985,-0.38828058328758464,-0.3884741945657259,0.7047603906140423,0.7019341570341828
0.09625,0.09008182510790959,0.090562216882479,-0.3955278187153962,-0.3957047408144167,0.7109867448583362,0.7080823055186274
0.0975,0.09230042994691769,0.09278058852588662,-0.4027481278912193,-0.4029141791236696,0.7167836586442875,0.7138963765869981
0.09875,0.09453538030343643,0.09502183395669975,-0.40995176592173027,-0.41009984529250454,0.7223359206957863,0.719370699715516
0.1,0.09679985441131077,0.09728580846418615,-0.41712195552705084,-0.41725909377576575,0.7274442782224978,0.7244998635188955
0.10125,0.0990804215240834,0.09957236744964576,-0.42427144014459495,-0.42438929801681635,0.7323009384683855,0.7292787177373079
0.1025,0.10139000336177875,0.10188136642907951,-0.4313806133085048,-0.4314878507790111,0.7367000594410383,0.7337023750980614
0.10375,0.10371546992329803,0.10421266103588582,-0.43846569042693045,-0.4385521644758233,0.740840561911064,0.7377662130501303
0.105,0.10606962951260032,0.10656610702358146,-0.4455034684134783,-0.44557967149950656,0.7445137158994807,0.7414658753697496
0.10625,0.10843935474755956,0.10894156026855147,-0.45251352457615857,-0.45256782454817296,0.7479207224357277,0.7447972736354112
0.1075,0.11083752813635969,0.11133887677282292,-0.45946978961213175,-0.45951409695116413,0.7508494421223906,0.7477565885706685
0.10875,0.11325109009916633,0.1137579126668653,-0.46639447961464053,-0.4664159829926036,0.7535083248425138,0.7503402712532723
0.11,0.11569267456001014,0.11619852421241791,-0.4732595017262029,-0.47327099823300733,0.7556793309009744,0.7525450441892472
0.11125,0.1181494348033332,0.11866056780534054,-0.48008976841204376,-0.48007667982884084,0.7575759372812688,0.7543679022506249
0.1125,0.12063385096127263,0.12114389997849156,-0.4868526279851659,-0.4868305868499057,0.7589767914042111,0.7558061134756362
0.11375,0.12313325331717165,0.12364837740463046,-0.4935774285484022,-0.49353030059444264,0.7601002869242813,0.756857219730287
